item_id	genre	text_id	sentence_n	target_word	part_of_speech	novelty_score	type	text	intention_1	intention_2	intention_3	comments
A1G2700422006	NEWS	a1g-fragment27	422	uncle	NN1	0.212	direct	Nicholas was known as ‘ the <b>uncle</b> of Europe ’ for his success in marrying his beautiful but penniless daughters into the grander royal houses of Russia , Serbia and Italy .	Humour			
A1H0500074017	NEWS	a1h-fragment05	74	hallmark	NN1	0.5	indirect	These influences laid the foundations for the blend of the naive and the sophisticated which is the <b>hallmark</b> of Thomson 's maturity .	Explanation	Lexicalized metaphor		
A1H0500088003	NEWS	a1h-fragment05	88	terse	AJ0	0.515	indirect	The results are <b>terse</b> and sharply etched , like the best line drawings .	Visualization			
A1H0500088006	NEWS	a1h-fragment05	88	etch	VVN	0.645	indirect	The results are terse and sharply <b>etched</b> , like the best line drawings .	Visualization			
A1H0500088011	NEWS	a1h-fragment05	88	drawing		0.155	direct	The results are terse and sharply etched , like the best <b>line drawings</b> .	Visualization			
A1H0500092020	NEWS	a1h-fragment05	92	assessment	NN1	0.486	indirect	He started by writing occasional articles but in 1939 he wrote The State of Music , a trenchant and provocative <b>assessment</b> of the machinery of the musical profession at the time .	Heuristic reasoning			
A1H0500109005	NEWS	a1h-fragment05	109	buzzard		0.521	direct	From there , like a <b>buzzard in its eyrie </b>, he would make forays round the US and abroad in spite of his advanced age .	Humour			
A1H0500110006	NEWS	a1h-fragment05	110	landmark	NN1	0.528	indirect	He seemed a genial and indestructible <b>landmark</b> in the history of American music , in spite of defective hearing which had bothered him since the late Seventies .	Argumentative metaphor	Persuasiveness		
A1H0600116004	NEWS	a1h-fragment06	116	outstanding	AJ0	0.25	indirect	THOMI KELLER is the <b>outstanding</b> figure in the history of international rowing .	Argumentative metaphor			
A1H0600130001	NEWS	a1h-fragment06	130	position	NN2	0.2	indirect	These <b>positions</b> were not held for his own status but to promote the cause of rowing where it needed clout .	Lexicalized metaphor			
A1H0600134025	NEWS	a1h-fragment06	134	yardstick	NN1	0.5	indirect	But it was the spirit of Henley , with huge crowds enjoying amateur sport , presented with administrative finesse , which Keller took as the <b>yardstick</b> for the international circuit .	Heuristic reasoning			
A1H0600135016	NEWS	a1h-fragment06	135	umpire	NN1	0.484	indirect	He loved the place and he returned every year to play an often small part as <b>umpire</b> of races between undistinguished clubs far below the Olympic standard he was obliged to administer .	Lexicalized metaphor			technical language
A1J3300499005	NEWS	a1j-fragment33	499	escape	VVZ	0.303	indirect	The only department which explicitly <b>escapes</b> unscathed is the one which Conservatives would most like to abolish : the Department of Energy .	Visualization	Argumentative metaphor	Persuasiveness	not sure
A1J3300504011	NEWS	a1j-fragment33	504	centrepiece	NN1	0.571	indirect	The ‘ medium term industrial strategy ’ which would form the <b>centrepiece</b> of Labour 's economic policy would , according to the Productive and Competitive Economy review group , be ‘ administered by a transformed Department of Trade and Industry ’ .	Explanation			
A1J3300506008	NEWS	a1j-fragment33	506	keystone	NN1	0.559	indirect	That approach would seek to knock out a <b>keystone</b> of Civil Service tradition .	Argumentative metaphor			
A1J3300511019	NEWS	a1j-fragment33	511	antagonise	VVI	0.543	indirect	But while the DTI would override the Treasury , a new ‘ powerful Department of Consumer Affairs ’ would <b>antagonise</b> the DTI .	Argumentative metaphor			not sure
A1J3300520015	NEWS	a1j-fragment33	520	member	NN1	0.324	indirect	The concept of a minister having Cabinet rank — and therefore implicitly not being a <b>member</b> of the Cabinet proper — crops up again on environment .	Lexicalized metaphor			technical language
A1J3400538007	NEWS	a1j-fragment34	538	smash	VVI	0.5	indirect	It would also be necessary ‘ to <b>smash</b> the decrepit , effete constitution that allows a minority to capture power , and then use it ruthlessly in the interests of the privileged few ’ .	Visualization			
A1J3400538011	NEWS	a1j-fragment34	538	effete	AJ0	0.5	indirect	It would also be necessary ‘ to smash the decrepit , <b>effete</b> constitution that allows a minority to capture power , and then use it ruthlessly in the interests of the privileged few ’ .	Argumentative metaphor	Persuasiveness		
A1J3400539046	NEWS	a1j-fragment34	539	throat	NN2	0.679	indirect	Mr Cook argued that 10 years of Thatcherism had been forced on most people , who had never voted Conservative , and that many of those who opposed PR in the Labour Party wanted to use the same undemocratic power ‘ to ram socialism down the <b>throats</b> of a majority who did n't vote for it ’ .	Persuasiveness			
A1J3400554034	NEWS	a1j-fragment34	554	split	NN2	0.343	indirect	Party organisers want the conference to show that the party is united as never before , leaving Mr Kinnock free for the first time to sell the policy package to voters without worrying about <b>splits</b> .	Lexicalized metaphor			technical language
A1K0200033003	NEWS	a1k-fragment02	33	half-way	AJ0	0.242	indirect	There is no <b>half-way</b> house .	Argumentative metaphor			seems a standpoint
A1K0200047014	NEWS	a1k-fragment02	47	stadium	NN2	0.5	indirect	Well Loaded Much talked-about guitar rockers , generally regarded as destined for the bigger <b>stadia</b> of life , unless they self-destruct en route .	Artistic metaphor			not sure
A1K0200054013	NEWS	a1k-fragment02	54	doodling	NN2	0.562	indirect	Primal Scream Not a name which would lead you to expect self-absorbed acoustic <b>doodlings</b> .	Persuasiveness			
A1K0200057018	NEWS	a1k-fragment02	57	appetising	AJ0	0.6	indirect	FRIDAY Dr & The Medics Silly hippies in Roy Wood cast-off costumes do n't sound like the most <b>appetising</b> evening out , and their brief foray into the charts was a considerable embarrassment , but the good Dr 's tongue is in the right place ( in his cheek ) and a jolly time is guaranteed .	Humour			
A1K0200069013	NEWS	a1k-fragment02	69	ingredient		0.271	direct	Not sure of the music policy , but the name sounds like the <b>ingredients of a takeaway from a less salubrious Chinese </b>.	Humour			offensive
A1K0200075015	NEWS	a1k-fragment02	75	l-shaped	AJ0-NN1	0.394	direct	King 's Head , Fulham 4 Fulham High St , SW6 ( 736 1413 ) <b>L</b>-shaped room , part corridor , part bar , part dance-floor , with the stage in one corner , ensuring restricted view from virtually everywhere .	Visualization			NOT FOUND in OV
A1K0200077017	NEWS	a1k-fragment02	77	incarnation	NN2	0.588	indirect	New Pegasus 109 Green Lanes , N16 ( 226 5930 ) Pub which has gone through several <b>incarnations</b> , most recently known as Chas'n'Dave 's .	Visualization			
A1K0200078021	NEWS	a1k-fragment02	78	diminishing	NN1	0.6	indirect	The odd policy to put the stage in the middle of the room rather than at one end leads to a <b>diminishing</b> of the atmosphere ( the corners are seldom filled ) .	Lexicalized metaphor			
A1K0200078024	NEWS	a1k-fragment02	78	atmosphere	NN1	0.515	indirect	The odd policy to put the stage in the middle of the room rather than at one end leads to a diminishing of the <b>atmosphere</b> ( the corners are seldom filled ) .	Lexicalized metaphor			
A1L0100005007	NEWS	a1l-fragment01	5	bludgeon	VVN	0.5	indirect	There are few things worse than being <b>bludgeoned</b> into reading a book you hate .	Visualization			
A1L0100009007	NEWS	a1l-fragment01	9	rose-tinted	AJ0	0.2	indirect	They win their parents over with a <b>rose</b>-tinted vision of the world which is decidedly reassuring .	Social interaction			colour connotation
A1L0100009015	NEWS	a1l-fragment01	9	reassure	VVG-AJ0	0.324	indirect	They win their parents over with a rose-tinted vision of the world which is decidedly <b>reassuring</b> .	Lexicalized metaphor			
A1L0100014023	NEWS	a1l-fragment01	14	gimlet-eyed	AJ0	0.656	indirect	Curious subject matter for a children 's picture book , you might think , and hardly guaranteed to win the approval of the <b>gimlet</b>-eyed children 's book world .	Persuasiveness			
A1L0100014024	NEWS	a1l-fragment01	14	gimlet-eyed	AJ0	0.486	indirect	Curious subject matter for a children 's picture book , you might think , and hardly guaranteed to win the approval of the gimlet<b>-eyed</b> children 's book world .	Persuasiveness	Humour		
A1L0100029026	NEWS	a1l-fragment01	29	brilliant	AJ0	0.545	indirect	Allan Ahlberg says : ‘ In the past , a lot of children 's books seemed to be the work of talented illustrators whose pictures looked <b>brilliant</b> framed in a gallery , but when you tried to read the book , there was nothing there , because the words started as a coat-hanger to hang pictures on . ’	Visualization			
A1L0100029052	NEWS	a1l-fragment01	29	coat-hanger		0.178	direct	Allan Ahlberg says : ‘ In the past , a lot of children 's books seemed to be the work of talented illustrators whose pictures looked brilliant framed in a gallery , but when you tried to read the book , there was nothing there , because the words started as a <b>coat-hanger to hang pictures on</b>  . ’	Explanation	Persuasiveness	Argumentative metaphor	
A1L0100038003	NEWS	a1l-fragment01	38	killing	NN1-AJ0	0.382	indirect	It 's a <b>killing</b> job .	Persuasiveness	Argumentative metaphor		more context
A1L0100049012	NEWS	a1l-fragment01	49	sit		-0.072	direct	In reality you just invent a tale , as if you were <b>sitting round a fire in a cave</b> . ’	Artistic metaphor	Visualization		
A1M0100001011	NEWS	a1m-fragment01	1	lag	VVG	0.514	indirect	The revolution the countryside needs : Christian Wolmar says Britain is <b>lagging</b> behind in setting up ‘ telecottages ’	Argumentative metaphor			
A1M0100010016	NEWS	a1m-fragment01	10	bog	VVN	0.5	indirect	Mr Dobbs , who is chairman of Telecottages UK , warns possible users not to get <b>bogged</b> down with the technology : ‘ The equipment is a tool to overcome what needs to be done .	Social interaction			not sure, the intention here seems generate intimacy with clients
A1M0100027005	NEWS	a1m-fragment01	27	ally	NN2	0.333	indirect	Mr Dobbs 's more unlikely <b>allies</b> are the Women 's Institutes .	Argumentative metaphor			
A1M0100047009	NEWS	a1m-fragment01	47	dormitory	NN2	0.5	indirect	But the villages are dying , becoming suburbs or <b>dormitories</b> where few people work but many sleep .	Argumentative metaphor			
A1N0900204026	NEWS	a1n-fragment09	204	conflagration	NN1	0.515	indirect	The selectors knew they were playing with fire when they decided to arrange a couple of club fixtures and they have duly been consumed in a <b>conflagration</b> of their own making .	Argumentative metaphor	Persuasiveness		
A1N0900205016	NEWS	a1n-fragment09	205	ash	NN2	0.257	indirect	The New Zealanders , appropriately garbed in funereal black , arrive next week to scatter the <b>ashes</b> .	Humour			if it is refering to rugby
A1N0900206016	NEWS	a1n-fragment09	206	discordant	AJ0	0.375	indirect	On and off the field the national game of the Land of Song is in a <b>discordant</b> mess .	Persuasiveness			
A1N0900207008	NEWS	a1n-fragment09	207	spinelessly	AV0	0.543	indirect	Losing was one thing but to lose as <b>spinelessly</b> as the Welsh XV did to Bridgend on Saturday was to add insult to severely injured pride .	Persuasiveness	Visualization		
A1N0900210006	NEWS	a1n-fragment09	210	squirming	AJ0-VVG	0.618	indirect	Four of the absentees suffered the <b>squirming</b> discomfort of being among the Welsh squad .	Visualization			
A1N0900212010	NEWS	a1n-fragment09	212	micawber-like	AJ0	0.556	direct	His plans in ruins , he is now reduced , <b>Micawber</b>-like , to hoping something will turn up before his players face the All Blacks in five short weeks .	Social interaction	Humour		intimacy effect, character in Dicken's novel. NOT related to MET in OV
A1N0900215014	NEWS	a1n-fragment09	215	hammering	NN1	0.562	indirect	But another selector confided the truth that Wales should be giving club opposition a <b>hammering</b> — and at half-time , building on their win over Newbridge , it looked as if they would .	Lexicalized metaphor			activity language
A1N0900218010	NEWS	a1n-fragment09	218	penury	NN1	0.5	indirect	From the comparative opulence of 17-6 they then slipped into <b>penury</b> by conceding 18 unanswered points .	Argumentative metaphor			
A1N0900220017	NEWS	a1n-fragment09	220	twopence	NN0	0.529	indirect	No one who was at the Brewery Field ( perhaps not even the selectors ) would give <b>twopence</b> for their ability to do so .	Humour			
A1N0900226003	NEWS	a1n-fragment09	226	encapsulate	VVN	0.5	indirect	This was conveniently <b>encapsulated</b> in the first try .	Lexicalized metaphor			
A1N1800339002	NEWS	a1n-fragment18	339	redeeming	AJ0-VVG	0.303	indirect	The only <b>redeeming</b> feature of a goalless , worthless event at Stamford Bridge was that it did not require a grant .	Humour			
A1N1800348002	NEWS	a1n-fragment18	348	leading	AJ0	0.206	indirect	London 's <b>leading</b> pair , as if piqued by this , turned 30 September into the longest afternoon .	Social interaction			
A1N1800348007	NEWS	a1n-fragment18	348	pique	VVN	0.543	indirect	London 's leading pair , as if <b>piqued</b> by this , turned 30 September into the longest afternoon .	Humour			
A1N1800353025	NEWS	a1n-fragment18	353	joust	NN1-VVB	0.647	indirect	Why , though , could these supposed championship contenders not have tried to emulate the fine passing that had sprinkled the previous weekend 's Merseyside <b>joust</b> ?	Lexicalized metaphor			activity language
A1N1800355004	NEWS	a1n-fragment18	355	pockete	VVN	0.548	indirect	They ought to have <b>pocketed</b> three points in the first half-hour but Tony Adams , a more threatening centre-forward on his forays than the current Alan Smith , missed the target with two headers and David Rocastle let Dave Beasant save a penalty , much as the stretch-version keeper had done for Wimbledon in the 1988 FA Cup final .	Lexicalized metaphor			activity language
A1N1800365011	NEWS	a1n-fragment18	365	flop	VVD	0.375	indirect	If so , it will be a gamble , because he <b>flopped</b> on his only previous international appearance in Saudi Arabia .	Argumentative metaphor			
A1N1800374034	NEWS	a1n-fragment18	374	build	VVI	0.206	indirect	After 16 minutes Graham Roberts was injured by a tackle for which Perry Groves was booked ( Steve Clarke took over as sweeper , and is likely to have several weeks in which to <b>build</b> on a promising display ) .	Lexicalized metaphor			
A1P0100022011	NEWS	a1p-fragment01	22	aggravate	VVN	0.303	indirect	The Pope said : ‘ Events in recent years have seriously <b>aggravated</b> the differences between us . ’	Visualization			
A1P0100025009	NEWS	a1p-fragment01	25	brotherly	AJ0	0.324	indirect	She said she had received a ‘ friendly and <b>brotherly</b> ’ reply from Dr Runcie .	Artistic metaphor			
A1P0300069002	NEWS	a1p-fragment03	69	tackle	VVI	0.545	indirect	We will <b>tackle</b> putting our economy in order so that we can achieve that social ambition , so that the strong economy is used to finance and develop the fair society . ’	Lexicalized metaphor			
A1P0300075017	NEWS	a1p-fragment03	75	underpin	VVG	0.676	indirect	But they will take into account the need for that balance that says that social spending without <b>underpinning</b> by economic growth will not be sustained in any event . ’	Lexicalized metaphor			
A1P0300083050	NEWS	a1p-fragment03	83	goose-step	NN1-AJ0	0.765	indirect	Ron Todd , the general secretary of the transport workers ' union , said that today 's vote on the multilaterist nuclear defence policy would not yield the ‘ massive and overwhelming ’ majority predicted by right-wingers , and he warned that party leaders could not expect everybody to ‘ <b>goose-step</b> ’ in the same direction once the policy had been carried .	Humour			
A1U0400055002	NEWS	a1u-fragment04	55	poison	VVN	0.375	indirect	An atmosphere <b>poisoned</b> by mistrust	Persuasiveness			
A1U0400057010	NEWS	a1u-fragment04	57	intractable	AJ0	0.5	indirect	The disposal of toxic wastes is one of the most <b>intractable</b> problems facing industrialised societies .	Argumentative metaphor			
A1U0400070025	NEWS	a1u-fragment04	70	intractable	AJ0	0.486	indirect	Plus a backdrop of houses covering the valley walls on either side , a reminder that wherever industrialised societies decide to deal with their most <b>intractable</b> problems , they are unlikely to find a place to do so which is not in somebody 's back yard .	Persuasiveness			
A1U0400071041	NEWS	a1u-fragment04	71	centre	NN2	0.25	indirect	Britain grinds out almost five million tonnes of hazardous waste each year , of which about 63,000 tonnes are so difficult to store or treat that they are burnt at high temperatures here in Gwent or at one of three other <b>centres</b> : Ellesmere Port ; Fawley , near Southampton ; and the unfortunately named Killamarsh , near Sheffield .	Lexicalized metaphor			
A1U0400082004	NEWS	a1u-fragment04	82	aggressive	AJ0	0.344	indirect	‘ We are an <b>aggressive</b> company , ’ admitted David Wheeler , operations director at this plant and at Rechem 's other incinerator , at Fawley .	Visualization	Heuristic reasoning		
A1U0400096005	NEWS	a1u-fragment04	96	convert	VVI	0.364	indirect	You could n't hope to <b>convert</b> them . ’	Lexicalized metaphor	Humour		
A1U0400108006	NEWS	a1u-fragment04	108	mouth	NN1	0.333	indirect	Right here , in this gaping <b>mouth</b> , lies the end of the chain .	Visualization			more context
A1U0400141021	NEWS	a1u-fragment04	141	wreathe	VVN-VVD	0.618	indirect	We walked past a tanker where a huge man named Andy Matthews was pumping vinyl acetate into a 10,000-gallon vat , <b>wreathed</b> in its sweet , sickly smell : ‘ I 've been here two years , ’ he said .	Artistic metaphor			
A1X0300160003	NEWS	a1x-fragment03	160	introduce	VVN	0.257	indirect	Three are prostitutes <b>introduced</b> to the drug by pimps .	Lexicalized metaphor			
A1X0500189011	NEWS	a1x-fragment05	189	conduct	VVG	0.636	indirect	The Imperial Cancer Research Fund and the Cancer Research Campaign are <b>conducting</b> a joint study of the Bristol Cancer Help Centre , which offers a holistic programme — dietary advice and emotional counselling — to complement medical treatment .	Lexicalized metaphor			
A2D0500032018	NEWS	a2d-fragment05	32	narcissistic	AJ0	0.485	indirect	The TV western seemed to fade into the sunset some time in the mid-1970s , victim of a <b>narcissistic</b> age that preferred to look at prosperous , smart-alecky or violent images of itself ( Dallas , Cheers , Miami Vice ) .	Persuasiveness			
A2D0500039017	NEWS	a2d-fragment05	39	threadbare	AJ0	0.645	indirect	The legend could not be taken seriously any longer in what had been , admittedly , a <b>threadbare</b> form .	Argumentative metaphor			
A2D0500061002	NEWS	a2d-fragment05	61	substantial	AJ0	0.562	indirect	It won <b>substantial</b> critical acclaim and will show in Britain next year .	Visualization	Lexicalized metaphor		
A2D0500065006	NEWS	a2d-fragment05	65	advertisement		0.244	direct	The effect is rather like an <b>extended advertisement for Marlboro Lights</b> .	Argumentative metaphor	Persuasiveness		
A2D0500068013	NEWS	a2d-fragment05	68	sprawl	NN1	0.576	indirect	Modern audiences no longer accept plastic bushes , and the southern Californian suburban <b>sprawl</b> means the production companies have to take their horses and cows to locations far away in Arizona or Montana .	Visualization			
A2D0500077003	NEWS	a2d-fragment05	77	ride	NN1	0.312	indirect	Will the western <b>ride</b> again ?	Artistic metaphor	Visualization		not sure
A2D0500079004	NEWS	a2d-fragment05	79	gladiatorial	AJ0	0.75	indirect	‘ Westerns have a <b>gladiatorial</b> , timeless quality .	Persuasiveness			
A2D0500088012	NEWS	a2d-fragment05	88	gallop	VVN	0.486	indirect	It is premature , then , to say that the western has <b>galloped</b> back to centre screen .	Humour			sarcastic tone
A2D0500089004	NEWS	a2d-fragment05	89	puff	NN1	0.303	indirect	But there is a <b>puff</b> of dust on the horizon .	Visualization			
A360700182010	NEWS	a36-fragment07	182	anaemic	AJ0	0.618	indirect	But the vaporous presences that float through this slender and <b>anaemic</b> first novel by a notable poet would appear to support the claim .	Persuasiveness			
A360700184025	NEWS	a36-fragment07	184	tremulously	AV0	0.343	indirect	This , of course , is a popular subject : it seems particularly attractive to the poet-turned-novelist because of the scope it offers for the <b>tremulously</b> sensitive probing of feelings .	Visualization			
A360700186003	NEWS	a36-fragment07	186	present	VVZ	0.484	indirect	What Andrew Motion <b>presents</b> us with here is a static and humourless mood-piece filled with over-elaborate imagery .	Lexicalized metaphor			
A360700190009	NEWS	a36-fragment07	190	vividly	AV0	0.594	indirect	His mother , by contrast , is the most <b>vividly</b> realised character in the book : nervy , flirtatious and selfish , already on her third husband , she thinks primarily of her appearance , even when visiting her dying daughter , Francis 's twin .	Lexicalized metaphor			
A360700205011	NEWS	a36-fragment07	205	drawing		-0.052	direct	One moment an avenue of chestnut trees looks ‘ like a <b>child 's drawing of ghosts </b>’ ; the next it appears ‘ frightening but derelict , like extinguished chandeliers ’ ; and finally the chestnuts ‘ prance at him , holding up their gleaming branches like hysterics . ’	Visualization			
A360700205028	NEWS	a36-fragment07	205	chandelier		0.494	direct	One moment an avenue of chestnut trees looks ‘ like a child 's drawing of ghosts ’ ; the next it appears ‘ frightening but derelict , like <b>extinguished chandeliers</b> ’ ; and finally the chestnuts ‘ prance at him , holding up their gleaming branches like hysterics . ’	Visualization			
A360700205047	NEWS	a36-fragment07	205	hysterics	NN1	0.625	direct	One moment an avenue of chestnut trees looks ‘ like a child 's drawing of ghosts ’ ; the next it appears ‘ frightening but derelict , like extinguished chandeliers ’ ; and finally the chestnuts ‘ prance at him , holding up their gleaming branches like <b>hysterics</b> . ’	Visualization			
A380100001004	NEWS	a38-fragment01	1	lover	NN1	0.324	indirect	Motoring : A lead-free <b>lover</b> 's guide to used cars : Drivers with a tight budget and an environmental conscience can buy second-hand without losing principles , says James Ruppert	Lexicalized metaphor			
A380100004010	NEWS	a38-fragment01	4	orchestrate	VVN-AJ0	0.312	indirect	As a result of this rule , and many carefully <b>orchestrated</b> publicity campaigns , the motor industry 's image has now changed from polluter to pal of the earth .	Argumentative metaphor			
A380100017027	NEWS	a38-fragment01	17	depressed	AJ0	0.324	indirect	What is certain is that the pre-1989 Austin/MG range , all Skodas , Yugos and quite a few Lancias do not , which does not help already <b>depressed</b> resale prices .	Argumentative metaphor	Persuasiveness		
A380100023012	NEWS	a38-fragment01	23	succumb	VVN	0.606	indirect	Find a 1980 Toyota Corolla or 1982 Nissan Sunny that has not <b>succumbed</b> to rust , and you can buy with confidence .	Humour			
A380100025003	NEWS	a38-fragment01	25	greenness	NN1	0.486	indirect	If the ‘ <b>greenness</b> ’ of going unleaded still seems a bit of a grey area , it is possible to switch to diesel without a shadow of environmental doubt .	Argumentative metaphor			
A380100025014	NEWS	a38-fragment01	25	grey	AJ0	0.333	indirect	If the ‘ greenness ’ of going unleaded still seems a bit of a <b>grey</b> area , it is possible to switch to diesel without a shadow of environmental doubt .	Social interaction			colour connotation
A380100033017	NEWS	a38-fragment01	33	commanding	AJ0	0.676	indirect	Prestige comes in the shape of a Mercedes with the 240D or ‘ Stuttgart Taxi ’ , <b>commanding</b> £7,000 but returning unfailing reliability .	Social interaction			not clear the intention
A390100006040	NEWS	a39-fragment01	6	charm	NN1	0.5	indirect	Homely Persian pottery of the twelfth to thirteenth century combines animal and bird images with sinuous plant motifs and marks the beginning of lustre wares ; they are mostly priced in the £500 to £1,000 range and rate high on <b>charm</b> .	Lexicalized metaphor			
A3C0500186024	NEWS	a3c-fragment05	186	reviving	AJ0	0.545	indirect	Drink : Desire in search of a name : Do the French have the ‘ mot juste ’ to describe the desire for a <b>reviving</b> drink ?	Artistic metaphor	Persuasiveness		not sure
A3C0500199012	NEWS	a3c-fragment05	199	dare	VVI	0.206	indirect	This desire that can not find its name ( though it would <b>dare</b> speak it , if it could ) is pleasurable .	Visualization			personification 
A3C0500200005	NEWS	a3c-fragment05	200	amorous		0.234	direct	It is as enjoyable as <b>feeling gently hungry or amorous</b> .	Visualization			
A3C0500203001	NEWS	a3c-fragment05	203	puritan	NN2	0.323	indirect	Let <b>puritans</b> and pessimists damn , disapprove or dismiss these appetites ; that is their loss .	Lexicalized metaphor			
A3C0500209010	NEWS	a3c-fragment05	209	unquenching	AJ0	0.515	indirect	What of this thirst that can be satisfied by an <b>unquenching</b> drink ?	Persuasiveness			
A3C0500218011	NEWS	a3c-fragment05	218	lascivious	AJ0	0.6	indirect	To quench is more than to refresh although our lying , <b>lascivious</b> eyes tell us the two are the same .	Artistic metaphor			
A3C0500219016	NEWS	a3c-fragment05	219	swirl	VVG	0.486	indirect	Does any drink look more quenching than one of those Italian or French patent aperitifs , <b>swirling</b> in a refractive pink or russet oiliness , clothing the melting ice : a Campari , Dubonnet , Lillet or ( too rare in this country ) a Picon ?	Visualization			
A3C0500219023	NEWS	a3c-fragment05	219	oiliness	NN1	0.529	indirect	Does any drink look more quenching than one of those Italian or French patent aperitifs , swirling in a refractive pink or russet <b>oiliness</b> , clothing the melting ice : a Campari , Dubonnet , Lillet or ( too rare in this country ) a Picon ?	Visualization			
A3C0500222037	NEWS	a3c-fragment05	222	quench	VVG	0.529	indirect	In Strasburg , they have been known to lace beer with Picon , thereby ruining both drinks ( as Queen Victoria reputedly did with claret and malt whisky ) , but still the result is not especially <b>quenching</b> .	Lexicalized metaphor			not sure
A3C0500223032	NEWS	a3c-fragment05	223	mallet		0.326	direct	Perhaps a shimmering dry Martini cocktail ( minimum dilution , stirred , not shaken ; and served straight up ) looks even more refreshing , though its effect is that of a <b>silver mallet</b> .	Visualization	Explanation		
A3C0500238007	NEWS	a3c-fragment05	238	cast	NN1	0.516	indirect	Nor , if we are in civilised <b>cast</b> of mind , because we wish to become drunk .	Heuristic reasoning			
A3E0200010003	NEWS	a3e-fragment02	10	sprawl	NN1	0.5	indirect	The summer 's <b>sprawl</b> begins to be oppressive at this stage in the year and trigger fingers are itching to snip back overgrown mallows , clear out the mildewing foliage of golden rod and reduce the overpowering bulk of bullyboy ground cover .	Artistic metaphor			
A3E0200010039	NEWS	a3e-fragment02	10	bullyboy	NN1	0.515	indirect	The summer 's sprawl begins to be oppressive at this stage in the year and trigger fingers are itching to snip back overgrown mallows , clear out the mildewing foliage of golden rod and reduce the overpowering bulk of <b>bullyboy</b> ground cover .	Artistic metaphor			
A3E0200022001	NEWS	a3e-fragment02	22	bedding	NN1	0.545	indirect	Summer <b>bedding</b> is looking tired and should be removed so that the ground can be cleaned and fed ready for spring bulbs or wallflowers .	Lexicalized metaphor			activity language
A3E0300031029	NEWS	a3e-fragment03	31	threadbare	AJ0	0.5	indirect	Some novice gardeners may not want to do much actual gardening at all , but conversely , do not want to look out every day over a scene of <b>threadbare</b> grass and rotting fence .	Visualization			
A3E0300047019	NEWS	a3e-fragment03	47	swag	VVD	0.529	indirect	Closet countrysiders may want to pretend their patch is actually a corner of some Sussex meadow and picture it <b>swagged</b> with honeysuckle and waving with ox-eye daisies and scabious .	Visualization			
A3E0300047023	NEWS	a3e-fragment03	47	wave	VVG-AJ0	0.484	indirect	Closet countrysiders may want to pretend their patch is actually a corner of some Sussex meadow and picture it swagged with honeysuckle and <b>waving</b> with ox-eye daisies and scabious .	Visualization	Lexicalized metaphor		
A3E0300047025	NEWS	a3e-fragment03	47	ox-eye	AJ0	0.618	indirect	Closet countrysiders may want to pretend their patch is actually a corner of some Sussex meadow and picture it swagged with honeysuckle and waving with <b>ox-eye</b> daisies and scabious .	Lexicalized metaphor			
